product_category_name_english,total_revenue,total_orders,avg_revenue_per_order
health_beauty,1402309.36,8599,149.21359438178337
watches_gifts,1255551.37,5449,216.10178485370054
bed_bath_table,1212937.8800000001,9174,112.01864425563356
sports_leisure,1110176.4,7482,132.59003941239698
computers_accessories,1027354.57,6496,135.1071238821673
furniture_decor,872234.27,6256,108.01662786377709
housewares,753530.67,5707,111.58458018658375
cool_stuff,683709.42,3529,185.4378681855167
auto,660274.87,3788,161.2392844932845
garden_tools,561205.09,3426,132.42215431807455
toys,541693.44,3773,135.49110555277636
baby,462948.91,2786,156.50740703177823
perfumery,441272.85,3075,132.59400540865383
telephony,376626.32,4067,85.55800090867787
office_furniture,331142.18,1242,200.44926150121066
stationery,268008.05,2250,109.39104081632652
pet_shop,249423.49,1680,130.24725326370756
computers,219274.62,174,1118.7480612244897
unknown,200117.52,1400,129.60979274611398
musical_instruments,198936.08,604,308.9069565217391
small_appliances,196540.47,604,300.9808116385911
electronics,195536.43,2497,72.18029900332226
fashion_bags_accessories,178957.09,1811,90.61118481012657
luggage_accessories,168060.83,1015,156.62705498602048
consoles_games,164729.23,1008,152.81004638218926
construction_tools_construction,160530.02,731,176.21297475301864
home_appliances_2,117444.72,225,512.8590393013101
home_construction,94245.18,480,159.46730964467005
home_appliances,93043.23,744,123.8924500665779
furniture_living_room,83615.36,409,170.64359183673469
agro_industry_and_commerce,76203.3,177,369.91893203883495
home_confort,65506.87,389,153.77199530516432
fixed_telephony,59149.5,209,234.7202380952381
air_conditioning,59043.94,242,207.9011971830986
kitchen_dining_laundry_garden_furniture,56758.74,239,208.6718382352941
audio,55900.46,345,156.14653631284915
books_general_interest,53781.2,491,101.09248120300751
small_appliances_home_oven_and_coffee,49245.9,72,674.6013698630137
construction_tools_lights,46417.39,239,158.96366438356165
industry_commerce_and_business,45485.18,229,174.2727203065134
construction_tools_safety,42459.79,158,233.29554945054946
food,35064.37,436,72.14890946502058
market_place,33017.2,272,108.96765676567655
costruction_tools_garden,30283.94,190,130.53422413793103
signaling_and_security,27660.02,137,141.12255102040817
fashion_shoes,27345.05,231,108.08320158102767
art,27283.98,193,139.91784615384614
drinks,26971.11,287,74.712216066482
furniture_bedroom,23379.22,90,226.98271844660195
books_technical,22838.86,255,87.1712213740458
food_drink,19337.77,221,71.88762081784387
costruction_tools_tools,17731.62,94,179.10727272727271
fashion_male_clothing,12280.53,105,99.03653225806453
fashion_underwear_beach,11095.02,116,88.05571428571429
christmas_supplies,10972.710000000001,123,76.73223776223777
cine_photo,7902.18,63,112.88828571428571
tablets_printing_image,7697.03,77,95.02506172839506
music,6724.860000000001,38,176.97000000000003
furniture_mattress_and_upholstery,5904.75,37,159.58783783783784
dvds_blu_ray,5769.84,56,94.58754098360656
party_supplies,5285.38,38,125.84238095238095
books_imported,5150.94,50,90.36736842105262
fashio_female_clothing,3218.44,36,71.52088888888889
fashion_sport,2657.5499999999997,26,91.63965517241378
la_cuisine,2251.43,12,173.18692307692305
arts_and_craftmanship,2184.14,23,91.00583333333333
diapers_and_hygiene,2046.19,25,55.30243243243243
flowers,1453.79,28,46.89645161290323
home_comfort_2,1086.58,23,40.2437037037037
cds_dvds_musicals,954.99,12,68.21357142857143
fashion_childrens_clothes,598.67,7,85.52428571428571
security_and_services,324.51,2,162.255
